street_nam,lat,lon
E 1ST AV,-111.92517747543577,33.493747962535785
E 1ST ST,-111.91525768793213,33.47526215950224
E 2ND ST,-111.92409213267285,33.48563099956873
E 3RD AV,-111.92607704159676,33.49662468298798
E 3RD ST,-111.91252419681966,33.47164582879279
E 4TH AV,-111.9248853660926,33.49788739909999
E 4TH ST,-111.9142843457682,33.47512554660096
E 5TH AV,-111.92820911273206,33.49789113972597
E 5TH ST,-111.92088296898828,33.4748782624867
E 6TH AV,-111.92247162004665,33.4988346149503
E 6TH ST,-111.91432472181808,33.4731585690491
E A.W. TILLINGHAST RD,-111.87617242676839,33.84637604486525
E ABRAHAM LN,-111.97552594521224,33.68226027342404
E ACACIA DR,-111.85289532827622,33.638309112269994
E ACACIA WY,-111.74673754403233,33.61510834423818
E ACOMA DR,-111.93513506329519,33.61865898661102
E ADDY WY,-111.85612211786179,33.8233499770588
E ADELE CT,-111.907016141784,33.70078554598803
E ADOBE DR,-111.89499748815042,33.68703326290769
E AGAVE DR,-111.95104278205858,33.79988717209713
E AGAVE LN,-111.97959793087024,33.80161408379035
E AGAVE PL,-111.95412596502987,33.80012803321547
E AGUA FRIA DR,-111.9516724896615,33.796329070738025
E AINSLEY MAY WY,-111.92966412176125,33.45883748503149
E AIRE LIBRE AV,-111.95676535242494,33.63687695575078
E AIRE LIBRE LN,-111.9442562617231,33.63726915606616
E AJAVE DR,-111.84174431457193,33.73349103461538
E ALAMEDA RD,-111.85829131983321,33.705273610111135
E ALAMOSA AV,-111.71447353616179,33.62089118755474
E ALAN LN,-111.96388652687222,33.580885806666785
E ALEKA WY,-111.86613082647165,33.81816244764058
E ALGONQUIN CT,-111.7020866772492,33.6221528377711
E ALLISON WY,-111.86917091091962,33.82117079043877
E ALMEDA CT,-111.95220724588887,33.746555669367524
E ALMERIA RD,-111.92301000298464,33.46681149102598
E ALMONT DR,-111.71994786276866,33.6100116177591
E ALOE DR,-111.71137484006084,33.61380246486483
E ALOE VERA DR,-111.92775814028896,33.7812710350614
E ALTA HACIENDA DR,-111.94504615195197,33.5038928307689
E ALTA LOMA CR,-111.70803822676707,33.60421623796273
E ALTA SIERRA CR,-111.91321831892245,33.7576880411987
E ALTA SIERRA DR,-111.9219878956263,33.75860580984021
E ALTADENA AV,-111.85509499577243,33.59235154756143
E ALTADENA DR,-111.82289013311049,33.59214635467104
E ALTON RD,-111.84571677869314,33.704388774670505
E AMBASSADOR DR,-111.9343556245982,33.451806559786625
E AMBER SUN DR,-111.94077926275591,33.797070033358644
E AMELIA AV,-111.90660522876816,33.4940292209813
E AMELIA CR,-111.91260197197295,33.49427071746032
E AMHURST DR,-111.71328939361952,33.588802972183835
E ANDERSON DR,-111.95036468432731,33.64351656993147
E ANDORA DR,-111.97352907311085,33.60734625684951
